Country/Region,Confirmed,Deaths,Recovered,Active,WHO Region
Iran,293606,15912,255144,22550,EasternMediterranean
Iraq,112585,4458,77144,30983,EasternMediterranean
Ireland,25892,1764,23364,764,Europe
Israel,63985,474,27133,36378,Europe
Italy,246286,35112,198593,12581,Europe
Jamaica,853,10,714,129,Americas
Japan,31142,998,21970,8174,WesternPacific
Jordan,1176,11,1041,124,EasternMediterranean
Kazakhstan,84648,585,54404,29659,Europe
Kenya,17975,285,7833,9857,Africa
Kosovo,7413,185,4027,3201,Europe
Kuwait,64379,438,55057,8884,EasternMediterranean
Kyrgyzstan,33296,1301,21205,10790,Europe
Laos,20,0,19,1,WesternPacific
Latvia,1219,31,1045,143,Europe
Lebanon,3882,51,1709,2122,EasternMediterranean
Lesotho,505,12,128,365,Africa
Liberia,1167,72,646,449,Africa
Libya,2827,64,577,2186,EasternMediterranean
Liechtenstein,86,1,81,4,Europe
Lithuania,2019,80,1620,319,Europe
Luxembourg,6321,112,4825,1384,Europe
Madagascar,9690,91,6260,3339,Africa
Malawi,3664,99,1645,1920,Africa
Malaysia,8904,124,8601,179,WesternPacific
Maldives,3369,15,2547,807,South-EastAsia
Mali,2513,124,1913,476,Africa
Malta,701,9,665,27,Europe
Mauritania,6208,156,4653,1399,Africa
Mauritius,344,10,332,2,Africa
Mexico,395489,44022,303810,47657,Americas
Moldova,23154,748,16154,6252,Europe
Monaco,116,4,104,8,Europe
Mongolia,289,0,222,67,WesternPacific
Montenegro,2893,45,809,2039,Europe
Morocco,20887,316,16553,4018,EasternMediterranean
Mozambique,1701,11,0,1690,Africa
Namibia,1843,8,101,1734,Africa
Nepal,18752,48,13754,4950,South-EastAsia
Netherlands,53413,6160,189,47064,Europe
New Zealand,1557,22,1514,21,WesternPacific
Nicaragua,3439,108,2492,839,Americas
Niger,1132,69,1027,36,Africa
Nigeria,41180,860,18203,22117,Africa
North Macedonia,10213,466,5564,4183,Europe
Norway,9132,255,8752,125,Europe
Oman,77058,393,57028,19637,EasternMediterranean
Pakistan,274289,5842,241026,27421,EasternMediterranean
Panama,61442,1322,35086,25034,Americas
Papua New Guinea,62,0,11,51,WesternPacific
Paraguay,4548,43,2905,1600,Americas
Peru,389717,18418,272547,98752,Americas
Philippines,82040,1945,26446,53649,WesternPacific
Poland,43402,1676,32856,8870,Europe
Portugal,50299,1719,35375,13205,Europe
Qatar,109597,165,106328,3104,EasternMediterranean
Romania,45902,2206,25794,17902,Europe
Russia,816680,13334,602249,201097,Europe
Rwanda,1879,5,975,899,Africa
Saint Kitts and Nevis,17,0,15,2,Americas
Saint Lucia,24,0,22,2,Americas
Saint Vincent and the Grenadines,52,0,39,13,Americas
San Marino,699,42,657,0,Europe
Sao Tome and Principe,865,14,734,117,Africa
Saudi Arabia,268934,2760,222936,43238,EasternMediterranean
Senegal,9764,194,6477,3093,Africa
Serbia,24141,543,0,23598,Europe
Seychelles,114,0,39,75,Africa
Sierra Leone,1783,66,1317,400,Africa
Singapore,50838,27,45692,5119,WesternPacific
Slovakia,2181,28,1616,537,Europe
Slovenia,2087,116,1733,238,Europe
Somalia,3196,93,1543,1560,EasternMediterranean
South Africa,452529,7067,274925,170537,Africa
South Korea,14203,300,13007,896,WesternPacific
South Sudan,2305,46,1175,1084,Africa
Spain,272421,28432,150376,93613,Europe
Sri Lanka,2805,11,2121,673,South-EastAsia
Sudan,11424,720,5939,4765,EasternMediterranean
Suriname,1483,24,925,534,Americas
Sweden,79395,5700,0,73695,Europe
Switzerland,34477,1978,30900,1599,Europe
Syria,674,40,0,634,EasternMediterranean
Taiwan*,462,7,440,15,WesternPacific
Tajikistan,7235,60,6028,1147,Europe
Tanzania,509,21,183,305,Africa
Thailand,3297,58,3111,128,South-EastAsia
Timor-Leste,24,0,0,24,South-EastAsia
Togo,874,18,607,249,Africa
Trinidad and Tobago,148,8,128,12,Americas
Tunisia,1455,50,1157,248,EasternMediterranean
Turkey,227019,5630,210469,10920,Europe
US,4290259,148011,1325804,2816444,Americas
Uganda,1128,2,986,140,Africa
Ukraine,67096,1636,37202,28258,Europe
United Arab Emirates,59177,345,52510,6322,EasternMediterranean
United Kingdom,301708,45844,1437,254427,Europe
Uruguay,1202,35,951,216,Americas
Uzbekistan,21209,121,11674,9414,Europe
Venezuela,15988,146,9959,5883,Americas
Vietnam,431,0,365,66,WesternPacific
West Bank and Gaza,10621,78,3752,6791,EasternMediterranean
Western Sahara,10,1,8,1,Africa
Yemen,1691,483,833,375,EasternMediterranean
Zambia,4552,140,2815,1597,Africa
Zimbabwe,2704,36,542,2126,Africa
